epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.40053198486566544,0.9003654172023138,0.8196983536084493,0.542255183060964,0.8787448008855184,0.7839126586914062
2,0.2969772865374883,0.9340946425994238,0.8765446345011393,0.5387734770774841,0.8777598341306051,0.782331387201945
3,0.26442477603753406,0.9403530855973562,0.8875362475713094,0.3642655909061432,0.9016720453898112,0.821198304494222
4,0.2413568620880445,0.9431905994812647,0.8926215370496114,0.24704225858052573,0.9448811411857605,0.8956110080083212
5,0.22526428351799646,0.9456625978151957,0.8970257937908173,0.21639708677927652,0.9490432143211365,0.9031214316685995
6,0.21432425826787949,0.9474123617013296,0.9001742899417877,0.21705946326255798,0.9463707605997721,0.8983533183733622
7,0.2010387803117434,0.9495367755492529,0.9040403415759405,0.19750570257504782,0.9503724376360575,0.9055350224177042
8,0.19396945709983507,0.9503991802533468,0.9055793583393097,0.19246706863244376,0.9509981075922648,0.9066851735115051
9,0.1873126191397508,0.9518370827039083,0.9082015305757523,0.2042054533958435,0.9467239379882812,0.898971438407898
10,0.18558689206838608,0.9515325973431269,0.9076355397701263,0.18665922184785208,0.9505181908607483,0.9057921965916952
11,0.17855768899122873,0.9530793875455856,0.9104369233051935,0.19299600521723428,0.9503133098284403,0.9054569403330485
12,0.1794438697397709,0.9525475601355234,0.9094745467106501,0.19553154210249582,0.9481093287467957,0.901476263999939
13,0.17564729104439417,0.9532143473625183,0.9106816649436951,0.1886602242787679,0.9490093390146891,0.9030648072560629
14,0.166224737962087,0.9555805772542953,0.9150035083293915,0.18377397457758585,0.9510223865509033,0.9067407051722208
15,0.1616275186340014,0.9569105207920074,0.9174457341432571,0.18133521576722464,0.9514711697896322,0.9075216054916382
16,0.1610107757151127,0.9569087624549866,0.9174346476793289,0.1965156098206838,0.9489451050758362,0.9029606978098551
17,0.15779137735565504,0.9575739701588949,0.9186545709768931,0.19692671298980713,0.9483051498730978,0.9017934997876486
18,0.15322514002521834,0.9586037695407867,0.9205419570207596,0.18619107206662497,0.9496952096621195,0.9043447176615397
19,0.14739878848195076,0.9601648598909378,0.9234273582696915,0.1930882384379705,0.9470211863517761,0.8995225230852762
20,0.1454283967614174,0.9604572951793671,0.9239726960659027,0.1834773669640223,0.9509097735087076,0.9065029621124268
21,0.14046133185426393,0.9619899690151215,0.9268071254094442,0.18489616612593332,0.9512532552083334,0.9071348309516907
22,0.1374706539014975,0.9626268049081167,0.9279859165350596,0.1926556577285131,0.9508759578069051,0.906443198521932
23,0.13583490004142126,0.9630706260601679,0.9288025399049123,0.18658778568108877,0.9495429595311483,0.9040318528811137
24,0.1285164331396421,0.9651781419912974,0.9327272226413091,0.1913366069396337,0.9513498942057291,0.907294750213623
25,0.1266059596091509,0.9656161616245905,0.9335392167170843,0.1950375735759735,0.9486947456995646,0.9025084972381592
26,0.12258349855740865,0.9667904923359553,0.9357355336348215,0.1963091939687729,0.9499240318934122,0.9047073125839233
27,0.12157531641423702,0.9670204222202301,0.9361712137858073,0.20628160734971365,0.9501580993334452,0.9051449696222941
28,0.12051273571948211,0.9671777933835983,0.9364685813585917,0.2008127917846044,0.9485647479693095,0.9022416273752848
29,0.11598773921529452,0.9684161096811295,0.9387903362512589,0.20211250086625418,0.9501160979270935,0.9050695300102234
30,0.10874039679765701,0.9705984890460968,0.9428938627243042,0.1973001410563787,0.9502359628677368,0.9052812854448954
