epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.3035796682039897,0.8988282531499863,0.8171075979868571,0.3992909590403239,0.8787448008855184,0.7839126586914062
2,0.2240148882071177,0.9323651939630508,0.8735175182422003,0.3540133833885193,0.8780630032221476,0.7828150192896525
3,0.1975418155392011,0.9397250314553579,0.8864432871341705,0.3052298327287038,0.8784844080607096,0.7834198872248331
4,0.17837422837813696,0.9433033416668574,0.8928130169709524,0.1905795137087504,0.9409884413083395,0.8886850277582804
5,0.16482717295487723,0.9455375423034033,0.896799256404241,0.15939591328303018,0.94815727074941,0.901531716187795
6,0.15621172388394675,0.946719894806544,0.89895627895991,0.15387643376986185,0.9468879501024882,0.8992491761843363
7,0.1477221598227819,0.9481513847907385,0.9015257308880488,0.144801398118337,0.9484699368476868,0.902101973692576
8,0.13935997461279234,0.9505180964867274,0.9057845075925192,0.13633217414220175,0.9513156612714132,0.9072680075963339
9,0.13338816538453102,0.9518837481737137,0.908295676112175,0.1538208176692327,0.9428710341453552,0.8920305569966634
10,0.1320933699607849,0.9517528464396795,0.9080410649379095,0.13906850417455038,0.9485075076421102,0.9021819631258646
11,0.1268211162338654,0.9528542508681616,0.9100312838951746,0.13498897353808084,0.9499499797821045,0.9047791560490926
12,0.12600283635159334,0.9530419359604517,0.9103714376688004,0.1306293656428655,0.9496307969093323,0.9041910171508789
13,0.12218112374345462,0.9539321313301722,0.9119805892308553,0.1291671097278595,0.9499515493710836,0.9047785401344299
14,0.11785573946932952,0.9553451289733251,0.9145787904659907,0.12963243325551352,0.950007418791453,0.9048964182535807
15,0.11425591508547465,0.9566073715686798,0.916877493262291,0.12656944493452707,0.9511204163233439,0.9069014588991801
16,0.1120249933252732,0.957390566666921,0.9183243364095688,0.13338950276374817,0.9495410521825155,0.9040412306785583
17,0.11105952908595403,0.9574376046657562,0.9184136291344961,0.14182348052660623,0.9458160599072775,0.8973171710968018
18,0.10967174048225085,0.9577039629220963,0.9188896467288336,0.1262182667851448,0.9500739375750223,0.9049835006395975
19,0.1058789324015379,0.9591745535532633,0.9216019610563914,0.12790313611427942,0.9505280256271362,0.9058397809664408
20,0.10260881359378497,0.9603448907534281,0.9237639755010605,0.1237356389562289,0.9520294070243835,0.9085317452748617
21,0.09932943371435006,0.9615790843963623,0.9260434061288834,0.12659558157126108,0.9508560101191202,0.9064204891522726
22,0.09792514331638813,0.9618906080722809,0.9266286243995031,0.12612327436606088,0.9516808787981669,0.9079044063886007
23,0.09702505668004353,0.9623015175263087,0.9273752768834432,0.13449456791083017,0.9466618299484253,0.898828407128652
24,0.09224926804502805,0.964294970035553,0.9310827950636545,0.12942283352216086,0.9507775704065958,0.9062586228052775
25,0.09006521354118983,0.965016225973765,0.9324207603931427,0.1321092670162519,0.9488890568415324,0.9028780659039816
26,0.0871913954615593,0.966159333785375,0.9345574478308359,0.12696985652049383,0.9509990811347961,0.9066627621650696
27,0.08592365992565949,0.9666819125413895,0.9355334937572479,0.1341696778933207,0.9499899744987488,0.9048287272453308
28,0.08722697136302789,0.9659692893425623,0.9342101613680521,0.1337248682975769,0.9489248593648275,0.9028907219568888
29,0.08463302565117677,0.967005044221878,0.9361471583445867,0.13429198414087296,0.9490653475125631,0.9031588633855184
30,0.0824035710344712,0.9677691558996836,0.9375751862923304,0.1358881269892057,0.9486773610115051,0.9024542172749838
