epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.5278685142596563,0.6461546756327152,0.5091557508955399,0.8789900739987692,0.23433547218640646,0.13273699084917703
2,0.36541720231374103,0.8565028011798859,0.7500537633895874,0.7777668833732605,0.3220648964246114,0.19336225589116415
3,0.3079766208926837,0.8943425416946411,0.8094333708286285,0.31147027015686035,0.8778865536053976,0.7825093269348145
4,0.27008984237909317,0.913727248708407,0.8413915286461512,0.2653086334466934,0.9138729174931844,0.841803232828776
5,0.2439983387788137,0.9218896975119909,0.8553580244382223,0.2418589194615682,0.9341521263122559,0.8765941460927328
6,0.21949378649393717,0.9311248312393824,0.8713343540827433,0.21506903072198233,0.9336382150650024,0.8757804234822592
7,0.19611972322066626,0.9364640762408575,0.8806820412476858,0.19192983210086823,0.9433849652608236,0.8929111560185751
8,0.18582808847228685,0.9390572905540466,0.8852584312359492,0.18817729751269022,0.938476026058197,0.884287436803182
9,0.17714881151914597,0.939871589342753,0.8867447872956594,0.1627022922039032,0.9452444116274515,0.8962798913319906
10,0.17050509775678316,0.9417974501848221,0.8901370416084925,0.1574836124976476,0.9454666376113892,0.8966803352038065
11,0.15597009658813477,0.944760317603747,0.8954333265622457,0.16667659084002176,0.943551222483317,0.8932796915372213
12,0.15337427457173666,0.9466523875792822,0.8988366425037384,0.15235868096351624,0.9437139630317688,0.8935495018959045
13,0.14608746394515038,0.9478583584229151,0.9010044087966284,0.14582705001036325,0.9473217725753784,0.9000211556752523
14,0.13823126753171286,0.950083002448082,0.9049927393595377,0.16031798223654428,0.9375790556271871,0.8826416730880737
15,0.13442189991474152,0.9511269629001617,0.9068954338630041,0.1542963037888209,0.9435009956359863,0.8931829730669657
16,0.13076767946283022,0.952845940987269,0.9100227802991867,0.14444506665070853,0.9442388017972311,0.8944479823112488
17,0.12984055218597254,0.9523878743251165,0.9091995308796564,0.18096038202444711,0.9297952055931091,0.8692477941513062
18,0.12691463343799114,0.9528869986534119,0.9101110150416692,0.14042850335439047,0.9477570454279581,0.900803784529368
19,0.11899673876663049,0.9559764713048935,0.915730228026708,0.15467347701390585,0.9440028866132101,0.8940520485242208
20,0.11278337178130944,0.9581337670485178,0.9196828454732895,0.13580161333084106,0.9479727745056152,0.90117879708608
21,0.1110711091508468,0.959083691239357,0.9214408894379934,0.13500567028919855,0.9485321243604025,0.9021844665209452
22,0.10591230789820354,0.960474227865537,0.9240024735530218,0.13479181130727133,0.9482252995173136,0.9016261299451193
23,0.10216925231118996,0.9620007226864496,0.9268240481615067,0.1321916232506434,0.9497210184733073,0.9043411811192831
24,0.0982733362664779,0.9634615033864975,0.9295315891504288,0.13351337611675262,0.9491918285687765,0.9033697247505188
25,0.09515027080972989,0.9645676612854004,0.9315913369258245,0.1360623985528946,0.947722057501475,0.900709887345632
26,0.09446519302825133,0.9646017650763193,0.9316533158222834,0.1349838599562645,0.9480714400609335,0.9013491074244181
27,0.09151799293855827,0.9657153934240341,0.9337302694718043,0.14115055898825327,0.9456282655398051,0.8969631195068359
28,0.08991359857221444,0.9662530720233917,0.9347443878650665,0.14246103167533875,0.9465025663375854,0.8985229134559631
29,0.08866417966783047,0.9669295052687327,0.9360030740499496,0.14603610833485922,0.9460739096005758,0.8977632522583008
30,0.08479092208047707,0.9679050743579865,0.9378386934598287,0.14398771027723947,0.9458946784337362,0.8974237243334452
