epoch,stage,train_loss,train_acc,val_loss,val_acc,learning_rate,epoch_minutes
1,Stage 1,1.6732148351669311,47.26,1.4352793060302735,59.94,0.001,14.230393604437511
2,Stage 1,1.427797212600708,59.625,1.3438402616500855,63.7,0.00075,12.321641918023428
3,Stage 1,1.3583890005111694,62.9075,1.3022150398254395,65.74,0.0002500000000000001,12.190303349494934
4,Stage 2,1.1275339879989623,74.5775,0.8514532788276672,86.24,0.0001,18.336295636494956
