epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,3.0105284960610526,15.380952380952381,2.70945570119222,19.033333333333335,0.0003
2,2.7241803969428653,23.652380952380952,2.429574729601542,31.0,0.00029917828430524096
3,2.52017887033735,31.347619047619048,2.139304478009542,35.56666666666667,0.0002967221401100708
4,2.363615884962536,37.49523809523809,1.92865096505483,43.13333333333333,0.00029265847744427303
5,2.2410541770571752,41.8,1.8062553424835206,47.56666666666667,0.0002870318186463901
6,2.1405723680768696,45.48571428571429,1.686293844540914,49.266666666666666,0.0002799038105676658
7,2.06439358656747,48.05238095238095,1.6328405097325642,51.766666666666666,0.0002713525491562421
8,1.9806461058117095,50.838095238095235,1.56116903479894,54.3,0.00026147172382160914
9,1.9093817927950905,53.5,1.507692058245341,55.43333333333333,0.00025036959095382875
10,1.82917308480399,56.48571428571429,1.3871287404696147,59.03333333333333,0.000238167787843871
11,1.766878967103504,58.7,1.319702586809794,60.63333333333333,0.00022500000000000002
12,1.6897804152170817,61.642857142857146,1.270585837205251,62.53333333333333,0.0002110104964613701
13,1.6204093546186176,63.72380952380952,1.2292056028048197,64.36666666666666,0.00019635254915624216
14,1.5488968798319498,66.57619047619048,1.163116021156311,65.5,0.00018118675362266393
15,1.4832031322660901,69.19047619047619,1.1561841979026795,66.2,0.0001656792694901481
16,1.41759754607791,71.64285714285714,1.097983034769694,68.4,0.0001500000000000001
17,1.3560661884489513,74.07619047619048,1.0403808868726094,70.0,0.00013432073050985205
18,1.3028124455043248,76.32380952380953,1.0356803047657013,70.0,0.00011881324637733612
19,1.2508622563680014,78.0904761904762,0.9912217354774475,71.93333333333334,0.00010364745084375793
20,1.2052107798258465,80.26666666666667,0.9900224682490031,71.73333333333333,8.898950353863e-05
21,1.1700819858823504,81.4,0.9646831012566884,72.76666666666667,7.500000000000006e-05
22,1.1331263896851314,83.4952380952381,0.9325146319071452,73.23333333333333,6.183221215612908e-05
23,1.099903126126244,84.60952380952381,0.9147357472578684,74.2,4.963040904617134e-05
24,1.0741742551894415,85.69047619047619,0.8988069574038188,74.63333333333334,3.85282761783909e-05
25,1.06074390293303,86.51428571428572,0.8885142296950023,75.6,2.8647450843757918e-05
26,1.0488732477369762,86.84761904761905,0.8944609445730846,74.9,2.0096189432334208e-05
27,1.029882500194368,87.68571428571428,0.8774286385377248,75.5,1.2968181353609862e-05
28,1.029878682454427,87.77142857142857,0.8814125051498413,75.53333333333333,7.341522555726975e-06
29,1.018067106701079,88.39047619047619,0.8766881826718649,75.36666666666666,3.277859889929149e-06
30,1.012959194546654,88.73809523809524,0.8761418801943461,75.56666666666666,8.217156947589904e-07
