epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,epoch_time_min
1,2.899182868594215,18.685714285714287,2.4235515219370525,28.6,0.0003,9.343986976146699
2,2.5205975643339613,30.7,1.9939192196528117,40.3,0.00029917828430524096,9.0936452349027
3,2.2726238654000417,39.71904761904762,1.7738677339553832,47.833333333333336,0.0002967221401100708,8.867929553985595
4,2.0834269014540174,47.00476190476191,1.5812371519406636,53.56666666666667,0.00029265847744427303,8.8354767203331
5,1.932881756373814,52.56666666666667,1.4791866205533346,57.3,0.0002870318186463901,8.868303871154785
6,1.7859666065034412,58.142857142857146,1.3546061744689941,60.766666666666666,0.0002799038105676658,8.899055727322896
7,1.645011642047337,63.114285714285714,1.267757914543152,63.13333333333333,0.0002713525491562421,8.88913695414861
8,1.5059363426935104,67.79523809523809,1.1832383958498638,66.0,0.00026147172382160914,8.892034244537353
9,1.3782446003868467,72.94761904761904,1.1746386841932932,66.36666666666666,0.00025036959095382875,8.881042671203613
10,1.2615898148672922,77.48571428571428,1.035260967731476,69.93333333333334,0.000238167787843871,8.942117261886597
11,1.1581945976756869,81.76190476190476,1.0435869320233664,71.0,0.00022500000000000002,8.898327827453613
12,1.0641821443012782,85.37619047619047,1.041669450044632,70.76666666666667,0.0002110104964613701,8.951551147301991
13,1.0015666261400495,88.05238095238096,0.9688284877141317,73.46666666666667,0.00019635254915624216,9.035442705949148
14,0.9423768565768287,90.23809523809524,0.8913070581754049,75.7,0.00018118675362266393,8.893227163950602
15,0.8984456570262,92.08095238095238,0.8764153815905253,76.7,0.0001656792694901481,8.906636353333791
16,0.85731948807126,93.53809523809524,0.8733228878974915,76.83333333333333,0.0001500000000000001,8.932944758733113
17,0.8292905792962937,94.30952380952381,0.8361573406060536,78.53333333333333,0.00013432073050985205,9.244083992640178
18,0.8098615793046497,94.82380952380953,0.8337184524536133,78.73333333333333,0.00011881324637733612,8.967035786310833
19,0.7880495513053167,95.36666666666666,0.8006389997005463,79.76666666666667,0.00010364745084375793,9.047056261698405
20,0.7761909065473648,95.68571428571428,0.8115106732050578,79.23333333333333,8.898950353863e-05,8.901021087169648
21,0.7639903870991298,95.69047619047619,0.7874832334518432,79.76666666666667,7.500000000000006e-05,8.868079368273417
22,0.7535112178666251,96.07619047619048,0.788876667658488,80.03333333333333,6.183221215612908e-05,8.908810969193777
23,0.7466412344887143,96.13809523809523,0.7748269222577413,80.36666666666666,4.963040904617134e-05,8.981271334489186
24,0.7396468229520888,96.08095238095238,0.7791925077438354,80.03333333333333,3.85282761783909e-05,8.903015971183777
25,0.7338251940409343,96.37619047619047,0.7751010950406393,80.33333333333333,2.8647450843757918e-05,11.95510636170705
26,0.72943982953117,96.36666666666666,0.7735526426633199,79.9,2.0096189432334208e-05,12.489118532339733
27,0.7271581132298424,96.24761904761905,0.7701126308441162,80.0,1.2968181353609862e-05,10.719389418760935
28,0.7258879714466276,96.3047619047619,0.7701107473373413,79.96666666666667,7.341522555726975e-06,9.533288685480754
29,0.7245569326536996,96.51904761904763,0.7681001300811767,80.0,3.277859889929149e-06,9.132529739538828
30,0.7234765040306818,96.42380952380952,0.766096134742101,80.06666666666666,8.217156947589904e-07,9.184529010454813
