epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,2.7403015583583286,19.123809523809523,2.415389215628306,28.533333333333335,0.0003
2,2.2847380075908843,31.176190476190477,1.9798021122614542,39.233333333333334,0.00029815325108927063
3,1.97853926104591,39.65714285714286,1.7738477274576823,47.56666666666667,0.00029265847744427303
4,1.7437129959378923,46.77619047619048,1.5686160426139832,53.8,0.0002836509786282552
5,1.5564742299034482,52.3,1.475443264166514,56.333333333333336,0.0002713525491562421
6,1.372955756323678,57.78095238095238,1.3806732420921326,59.833333333333336,0.0002560660171779821
7,1.190755029042562,63.05714285714286,1.2726872383753458,62.5,0.000238167787843871
8,1.0162151106879824,67.7,1.166193010965983,65.6,0.00021809857496093204
9,0.8335049684728895,73.1,1.1409390929539998,66.66666666666667,0.00019635254915624216
10,0.6717840076514653,77.77142857142857,1.0631841166814169,69.13333333333334,0.00017346516975603468
11,0.5272378080856233,82.16190476190476,1.0323460924625396,71.16666666666667,0.00015000000000000001
12,0.40455219114394414,85.96190476190476,0.9985749891996384,73.6,0.0001265348302439654
13,0.31865952137538367,88.84761904761905,1.020882702688376,74.06666666666666,0.0001036474508437579
14,0.24890296413784935,90.60952380952381,0.9942703686555227,75.03333333333333,8.190142503906799e-05
15,0.19183964855330332,92.7,1.0043043118715287,76.06666666666666,6.183221215612905e-05
16,0.15651593405150233,93.76190476190476,0.9456836646397908,77.6,4.393398282201788e-05
17,0.13210945948958397,94.5,0.9720489263931911,77.76666666666667,2.86474508437579e-05
18,0.11922969716361591,94.97619047619048,0.956242658038934,78.46666666666667,1.6349021371744834e-05
19,0.10650566286416281,95.31904761904762,0.9611367265582085,77.8,7.341522555726972e-06
20,0.1023207167269928,95.46190476190476,0.9497351023952166,77.83333333333333,1.8467489107293517e-06
