epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,2.7587754873548236,18.928571428571427,2.4620018679300943,25.733333333333334,0.0003
2,2.3039780138106574,30.604761904761904,2.053936906178792,39.06666666666667,0.00029815325108927063
3,2.021701270285107,38.81428571428572,1.9157185293833414,42.833333333333336,0.00029265847744427303
4,1.7930513016836984,45.41428571428571,1.787283629735311,46.96666666666667,0.0002836509786282552
5,1.6075110743386405,50.89523809523809,1.5983084599177042,52.233333333333334,0.0002713525491562421
6,1.419856289500282,55.73809523809524,1.5158788073857625,55.63333333333333,0.0002560660171779821
7,1.216319796653021,62.023809523809526,1.3565588521957397,60.166666666666664,0.000238167787843871
8,1.0121388889948526,67.73333333333333,1.288387444972992,62.06666666666667,0.00021809857496093204
9,0.7993678806168693,74.39047619047619,1.1923166140715282,65.73333333333333,0.00019635254915624216
10,0.6137116508256821,79.6952380952381,1.1424764720598857,68.53333333333333,0.00017346516975603468
11,0.4636409415063404,84.44285714285714,1.150279709339142,70.76666666666667,0.00015000000000000001
12,0.351355617744582,87.72380952380952,1.142531001329422,70.83333333333333,0.0001265348302439654
13,0.2595031707989318,90.44285714285714,1.2114119067192077,71.46666666666667,0.0001036474508437579
14,0.19567234368196557,92.52380952380952,1.1699553901354471,72.9,8.190142503906799e-05
15,0.1548544023774919,93.71904761904761,1.1194810592333475,74.36666666666666,6.183221215612905e-05
16,0.13264207519236065,94.36666666666666,1.1289837005933125,74.83333333333333,4.393398282201788e-05
17,0.10981676350321089,95.01904761904763,1.171953444023927,74.83333333333333,2.86474508437579e-05
18,0.10107012261521249,95.49047619047619,1.1499823660453161,75.36666666666666,1.6349021371744834e-05
19,0.09088184935635045,95.7,1.1432817563712596,75.66666666666667,7.341522555726972e-06
20,0.08585670915813673,95.92857142857143,1.1409586226244768,75.66666666666667,1.8467489107293517e-06
