epoch,phase,train_loss,train_acc,val_loss,val_acc,learning_rate
1,classifier,1.552309853599185,70.41904761904762,0.6959651424090068,81.76666666666667,0.001
2,classifier,1.266442390714373,79.45238095238095,0.6419916512966156,82.63333333333334,0.00075
3,classifier,1.2007979055586315,82.32857142857142,0.6216527442932129,83.5,0.0002500000000000001
4,finetune,1.1511435680389404,83.89047619047619,0.5445630465348562,84.76666666666667,3e-05
5,finetune,1.0744229049682616,86.9095238095238,0.5206973368326823,85.2,2.8514533018536286e-05
6,finetune,1.0211641599110195,88.5904761904762,0.4913172914981842,86.2,2.4352347027881003e-05
7,finetune,0.9753539638065156,90.3952380952381,0.47902944429715477,86.9,1.8337814009344716e-05
8,finetune,0.9480835408029102,91.36666666666666,0.4716795709133148,87.0,1.1662185990655285e-05
9,finetune,0.9344724916276478,91.80952380952381,0.46927254072825114,87.26666666666667,5.647652972118997e-06
10,finetune,0.9224749146189009,92.27142857142857,0.4683941531976064,87.43333333333334,1.4854669814637143e-06
