epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,2.899182868594215,18.685714285714287,2.4235515219370525,28.6,0.0003
2,2.520385868799119,30.723809523809525,1.9938919350306192,40.3,0.00029815325108927063
3,2.271464893159412,39.78095238095238,1.7732357012430826,47.86666666666667,0.00029265847744427303
4,2.0808037777855284,47.15238095238095,1.579801908016205,53.53333333333333,0.0002836509786282552
5,1.9267224162873768,52.68571428571428,1.47357928053538,57.63333333333333,0.0002713525491562421
6,1.7744166412353515,58.457142857142856,1.3462644581794738,60.96666666666667,0.0002560660171779821
7,1.6268130342392695,63.74285714285714,1.2541568908691407,63.86666666666667,0.000238167787843871
8,1.47813419401078,68.98095238095237,1.1660850467681885,67.03333333333333,0.00021809857496093204
9,1.3420805796214512,74.47142857142858,1.1433985947767893,67.4,0.00019635254915624216
10,1.2139014224097842,79.37619047619047,1.0237282226085662,70.66666666666667,0.00017346516975603468
11,1.1062663047881354,84.0904761904762,0.9907541948954265,72.6,0.00015000000000000001
12,1.0139080731982277,87.75238095238095,0.9997414057254791,73.0,0.0001265348302439654
13,0.9513384581974574,90.3047619047619,0.9299369401931763,75.5,0.0001036474508437579
14,0.8974718972387769,92.06190476190476,0.8617317876021068,77.46666666666667,8.190142503906799e-05
15,0.8608186907995314,93.65238095238095,0.8685638240178426,77.3,6.183221215612905e-05
16,0.8318373735972813,94.58095238095238,0.8390295219421386,78.13333333333334,4.393398282201788e-05
17,0.8130087286858332,95.19047619047619,0.8230122105280558,79.33333333333333,2.86474508437579e-05
18,0.8020989230019706,95.52857142857142,0.8231293561458588,79.06666666666666,1.6349021371744834e-05
19,0.7933989641098749,95.6952380952381,0.8188294628461202,78.73333333333333,7.341522555726972e-06
20,0.7905903108006432,95.86190476190477,0.8159169095357259,79.06666666666666,1.8467489107293517e-06
