epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,epoch_time_min
1,2.9485283705393472,16.761904761904763,2.483976738611857,26.666666666666668,0.0003,10.889927887916565
2,2.5746182564326694,28.67142857142857,2.1090711488723755,37.46666666666667,0.00029815325108927063,10.512068740526836
3,2.3198873182932536,38.304761904761904,1.983627721150716,41.93333333333333,0.00029265847744427303,9.448771063486735
4,2.143895695459275,44.95238095238095,1.6558341358502706,52.233333333333334,0.0002836509786282552,9.444977541764578
5,1.995413577125186,50.15238095238095,1.566102466106415,54.733333333333334,0.0002713525491562421,9.256497693061828
6,1.8491651386987595,55.60952380952381,1.40919207127889,58.333333333333336,0.0002560660171779821,9.471835196018219
7,1.7088510185423351,60.73809523809524,1.2768931562105814,63.06666666666667,0.000238167787843871,9.301305989424387
8,1.5719435967944917,65.6,1.2391805307070414,63.03333333333333,0.00021809857496093204,9.03371186653773
9,1.4396253214790709,70.47619047619048,1.094634470462799,67.96666666666667,0.00019635254915624216,9.142857090632122
10,1.319655755860465,75.2,1.0528419926961263,70.0,0.00017346516975603468,9.191179172197979
11,1.2029370200293406,79.83333333333333,1.0354764995574952,70.7,0.00015000000000000001,9.133706839879354
12,1.1071577984946115,84.20952380952382,0.9545496756235758,72.8,0.0001265348302439654,10.654411387443542
13,1.0302915236836387,86.95238095238095,0.9002494170665741,74.33333333333333,0.0001036474508437579,11.17933433453242
14,0.9699981879052662,89.45238095238095,0.8806624916394552,75.73333333333333,8.190142503906799e-05,11.379998254776002
15,0.9281542245774042,91.08095238095238,0.862730020682017,76.5,6.183221215612905e-05,10.753151865800222
16,0.894636433328901,92.61904761904762,0.8420362682342529,77.6,4.393398282201788e-05,10.445508670806884
17,0.8712480744180225,93.38571428571429,0.8250934634208679,77.7,2.86474508437579e-05,10.643312855561573
18,0.8523555005618504,94.13333333333334,0.8260079874992371,77.36666666666666,1.6349021371744834e-05,9.855318796634673
19,0.8409619569778443,94.67619047619047,0.8193956425984701,77.56666666666666,7.341522555726972e-06,9.899053128560384
20,0.8395308883757818,94.5047619047619,0.8148608827590942,77.66666666666667,1.8467489107293517e-06,10.01643391052882
