epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_minutes
1,2.600046015149071,24.076190476190476,2.300500820795695,33.06666666666667,0.0003,6.139971486727396
2,2.269575497491019,32.457142857142856,2.212998329162598,34.93333333333333,0.00029815325108927063,6.000705122947693
3,2.115484654108683,36.785714285714285,1.990068764368693,41.13333333333333,0.00029265847744427303,6.348799951871237
4,2.0114362267993746,39.695238095238096,1.9446556838353475,43.0,0.0002836509786282552,6.595319720109304
5,1.9170180466515678,42.25238095238095,1.8901540177663168,43.46666666666667,0.0002713525491562421,6.5212586402893065
6,1.8451924824487596,43.91428571428571,1.7682876663208007,47.36666666666667,0.0002560660171779821,6.194742735226949
7,1.7685877423967633,46.285714285714285,1.7727011666297912,48.333333333333336,0.000238167787843871,6.234974630673727
8,1.7085694810776484,47.56666666666667,1.7032881546020509,49.1,0.00021809857496093204,5.939711666107177
9,1.6364395523979551,49.804761904761904,1.5991396876970927,52.36666666666667,0.00019635254915624216,5.940774250030517
10,1.579193423089527,51.833333333333336,1.6111608247756959,51.43333333333333,0.00017346516975603468,6.109483110904693
11,1.510327188900539,53.27619047619048,1.591536954243978,52.733333333333334,0.00015000000000000001,5.992983500162761
12,1.4585666836784,55.161904761904765,1.5539940791130067,54.2,0.0001265348302439654,7.031223507722219
13,1.4081916947137743,56.161904761904765,1.4905710945129393,55.96666666666667,0.0001036474508437579,6.8392533699671425
14,1.3502114944003878,57.6,1.4633739981651306,56.3,8.190142503906799e-05,6.677517251173655
15,1.3119188353334155,58.838095238095235,1.4654118067423503,57.233333333333334,6.183221215612905e-05,6.795028952757518
16,1.2706726901644751,60.13809523809524,1.4462593925793965,57.93333333333333,4.393398282201788e-05,6.661491274833679
17,1.2332179814974467,60.957142857142856,1.4246037205060322,58.233333333333334,2.86474508437579e-05,6.716532882054647
18,1.210791995911371,61.82857142857143,1.4159296104113261,57.96666666666667,1.6349021371744834e-05,6.589712683359782
19,1.1899425079709007,62.82857142857143,1.404713502407074,58.833333333333336,7.341522555726972e-06,6.569325518608093
20,1.188979883466448,62.57142857142857,1.4056576418876647,58.9,1.8467489107293517e-06,6.581878125667572
