epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_minutes
1,2.805940753300985,22.276190476190475,2.6485494435628256,27.033333333333335,0.0003,4.164855702718099
2,2.559535964784168,29.547619047619047,2.477905232747396,33.96666666666667,0.00029815325108927063,4.038323199748993
3,2.460819375174386,33.55714285714286,2.3908635482788085,36.63333333333333,0.00029265847744427303,3.7643068552017214
4,2.38009109833127,36.36190476190476,2.3216067326863605,39.0,0.0002836509786282552,3.7065622051556906
5,2.316843348003569,38.55714285714286,2.2385020767847696,41.3,0.0002713525491562421,3.88358047803243
6,2.2544157850174678,40.7047619047619,2.1781196699142455,43.53333333333333,0.0002560660171779821,3.951727489630381
7,2.208317298162551,41.93333333333333,2.1574469451904297,45.0,0.000238167787843871,3.7256314555803933
8,2.1605578259513494,43.923809523809524,2.1522366876602175,44.63333333333333,0.00021809857496093204,4.00420176188151
9,2.1138640336536225,45.77142857142857,2.0712944329579672,47.86666666666667,0.00019635254915624216,3.803578515847524
10,2.0812223972138906,46.576190476190476,2.0412011909484864,48.8,0.00017346516975603468,3.7976533850034078
11,2.0435766917637417,48.11904761904762,2.0310497369766236,48.93333333333333,0.00015000000000000001,4.007317491372427
12,2.0069109455290293,49.24285714285714,2.0007872409820555,50.86666666666667,0.0001265348302439654,3.7756774266560873
13,1.9647852811359223,50.7,2.011738895098368,49.233333333333334,0.0001036474508437579,3.905938533941905
14,1.939883577437628,51.34285714285714,1.9633196366628012,52.06666666666667,8.190142503906799e-05,3.9231807629267377
15,1.9134003194173177,52.457142857142856,1.9705816500981648,51.46666666666667,6.183221215612905e-05,3.796750740210215
16,1.884552680787586,53.50952380952381,1.9382397899627686,52.63333333333333,4.393398282201788e-05,3.9726530869801837
17,1.8656564967745826,54.4,1.9216595554351807,53.266666666666666,2.86474508437579e-05,3.7857629378636677
18,1.8551076528458368,54.87619047619047,1.9292221139272054,52.6,1.6349021371744834e-05,3.8293746868769327
19,1.842881062280564,55.18571428571428,1.9237798557281494,53.36666666666667,7.341522555726972e-06,4.117815808455149
20,1.8374749725886754,55.31428571428572,1.9184527537027996,53.266666666666666,1.8467489107293517e-06,3.7471874435742696
