epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_minutes
1,2.753620362690517,24.14761904761905,2.495036980628967,34.0,0.0003,7.909933853149414
2,2.4898328131721135,32.404761904761905,2.449903142611186,34.93333333333333,0.00029815325108927063,9.063247466087342
3,2.3645585766746886,36.904761904761905,2.2633645292917888,40.36666666666667,0.00029265847744427303,7.462780404090881
4,2.2786259609404063,40.11904761904762,2.201939914385478,42.63333333333333,0.0002836509786282552,7.601369174321492
5,2.205314238048735,43.00476190476191,2.1493770621617636,45.333333333333336,0.0002713525491562421,7.72461740175883
6,2.14753971522195,44.628571428571426,2.105167923609416,45.86666666666667,0.0002560660171779821,7.302675441900889
7,2.0856810829525902,46.60476190476191,2.05489865843455,48.7,0.000238167787843871,7.070421759287516
8,2.0363426113128664,48.09047619047619,2.0211341791152955,50.13333333333333,0.00021809857496093204,6.688979748884837
9,1.9847627081189836,50.10952380952381,1.9626571254730225,51.5,0.00019635254915624216,6.834215629100799
10,1.9421434885206676,51.56666666666667,1.959621629079183,52.46666666666667,0.00017346516975603468,6.744129284222921
11,1.8860499483290172,53.58095238095238,1.9521831951141357,52.63333333333333,0.00015000000000000001,6.575390569368998
12,1.8399886278424944,55.24761904761905,1.8921200472513835,55.13333333333333,0.0001265348302439654,6.413982621828715
13,1.7978526406061082,56.79047619047619,1.8641035435994466,55.233333333333334,0.0001036474508437579,6.408000497023265
14,1.7555191737583706,58.319047619047616,1.8431505870819092,57.733333333333334,8.190142503906799e-05,6.151764408747355
15,1.723960632505871,59.00476190476191,1.8304784043629965,57.333333333333336,6.183221215612905e-05,6.1686227758725485
16,1.6958357081640334,60.73809523809524,1.8209871349334716,58.0,4.393398282201788e-05,6.148535919189453
17,1.6640641056696575,61.75714285714286,1.794963169415792,59.06666666666667,2.86474508437579e-05,5.894479509194692
18,1.6385022751036145,62.73809523809524,1.803299230893453,58.666666666666664,1.6349021371744834e-05,5.9711865027745565
19,1.6297502765655518,63.25238095238095,1.7902779995600382,59.06666666666667,7.341522555726972e-06,5.924134683609009
20,1.6204807207924978,63.595238095238095,1.7926991647084554,58.9,1.8467489107293517e-06,6.007141860326131
