epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.4520510832468669,0.7799189041058222,0.6499931166569392,0.3995881676673889,0.8787448008855184,0.7839126586914062
2,0.3627194290359815,0.8607184787591299,0.7565464725097021,0.36983973781267804,0.8787538210550944,0.7839275399843851
3,0.32111486544211704,0.8771377156178156,0.7813674857219061,0.31351640820503235,0.8811674118041992,0.7877693970998129
4,0.3027411500612895,0.8779516816139221,0.7827041347821554,0.30615852276484173,0.8736676971117655,0.7758074005444845
5,0.2860993767778079,0.8820653706789017,0.7892971982558569,0.2918177942434947,0.8750004967053732,0.7778646548589071
6,0.27762122203906375,0.8820499380429586,0.7892528374989828,0.27432240049044293,0.8844441771507263,0.7929892539978027
7,0.2722349315881729,0.8841724445422491,0.7926018536090851,0.2705870072046916,0.8826256593068441,0.790119489034017
8,0.26597952221830684,0.8854636996984482,0.7947148432334264,0.27619072794914246,0.8827656507492065,0.7903353770573934
9,0.263264453659455,0.884861002365748,0.7936956683794657,0.2676277259985606,0.8830624421437582,0.7908561825752258
10,0.2570821704963843,0.8865372141202291,0.7964416444301605,0.26786375045776367,0.8856936891873678,0.7950384815533956
11,0.25103293483455974,0.8885993262132009,0.7997364749511083,0.2594929536183675,0.8868390520413717,0.7968557278315226
12,0.24638179565469423,0.8906597197055817,0.803059975306193,0.25384602944056195,0.8886342644691467,0.7997505863507589
13,0.2430704062183698,0.8920352607965469,0.805300439397494,0.25699280699094135,0.8878897428512573,0.798549751440684
14,0.23828124751647314,0.8945515851179758,0.8093927850325903,0.2508958379427592,0.888574481010437,0.799645185470581
15,0.23624272147814432,0.8941555271546046,0.808760275443395,0.2507131149371465,0.8893440961837769,0.8008953928947449
16,0.2318495661020279,0.8964831282695135,0.8125624060630798,0.2492840439081192,0.8891901969909668,0.800633172194163
17,0.2297572915752729,0.8971107403437296,0.8135703851779302,0.25569844245910645,0.8881777922312418,0.7990171114603678
18,0.22756935531894365,0.8979828904072443,0.8150109698375066,0.25196613868077594,0.8863996068636576,0.7961201667785645
19,0.22472180798649788,0.8990065157413483,0.8166973541180292,0.24953927596410116,0.8898927768071493,0.8017971515655518
20,0.2234882414340973,0.8990869770447413,0.8168215850989023,0.2552538712819417,0.8830917080243429,0.7907856504122416
21,0.2229249862333139,0.8995473186175028,0.8176064242919286,0.2525626520315806,0.8897024591763815,0.8014723459879557
22,0.2212878738840421,0.9003301113843918,0.8188920964797338,0.25188958644866943,0.8882462382316589,0.7991153001785278
23,0.22045617178082466,0.9001941829919815,0.8186911543210348,0.24954100946585336,0.8892273108164469,0.8007347583770752
24,0.21807383000850677,0.9012005726496378,0.8203258067369461,0.25704174240430194,0.8889803489049276,0.8003247777620951
25,0.21639031047622362,0.9018306384483973,0.8213547567526499,0.24990163246790567,0.8897738456726074,0.8015920519828796
26,0.21458933626612028,0.9028751949469248,0.823100874821345,0.25091369946797687,0.8884880344072977,0.7995121876398722
27,0.21344140792886415,0.9031418114900589,0.8235603421926498,0.2522023965915044,0.8903050223986307,0.8024693727493286
28,0.21187001839280128,0.9036787698666254,0.8244385619958242,0.24963253736495972,0.8898208737373352,0.8016780614852905
29,0.21138800556461015,0.9037681420644125,0.8245964596668879,0.24861516058444977,0.890646239121755,0.8030209342638651
30,0.2104388177394867,0.9042517046133677,0.8254000246524811,0.25188880662123364,0.8870735963185629,0.7972273627916971
